Respondent_ID,resident,fellow,facProf,DR,IR,otherPosition,longPosition,pracIR,countryTrain,IRtrain,Irgraduate,accredTrain,regionPracIR,countriesPracIR
114392542801,1,0,0,0,0,,Resident,0,Mozambique ,0,0,1,1,Mozambique
114373581328,0,0,0,0,1,,Interventional Radiologist,1,turkey,1,0,0,3,Turkey
114372607778,0,0,0,0,0,Diagnostic and interventional radiologist,Diagnostic and interventional radiologist,1,France / Canada,1,0,0,0,France
114372320376,0,0,0,0,0,Medical Student,Medical Student,0,Cyprus ,0,0,,0,Cyprus
114360953417,0,0,0,1,0,,Diagnostic Radiologist,0,Cambodia and Trainee in France ,0,0,1,2,Cambodia
114353337705,0,1,0,0,0,,Fellow,0,Qatar,1,0,1,0,Qatar
114352546314,1,0,0,0,0,,Resident,0,Greece,0,0,1,0,Greece
114349657888,0,0,1,0,0,,Faculty/Professor,0,South Africa,1,0,0,0,South Africa
114347737422,0,0,0,1,0,,Diagnostic Radiologist,0,france,1,0,0,1,France
114346648718,0,0,0,0,1,,Interventional Radiologist,1,Mexico,0,1,1,4,Mexico
114346601702,0,0,0,1,0,,Diagnostic Radiologist,1,Costa Rica,1,0,0,4,Costa Rica
114345077016,0,0,0,1,0,,Diagnostic Radiologist,1,South Africa ,1,0,1,1,South Africa
114344889458,0,0,0,0,1,,Interventional Radiologist,1,Turkey,1,1,0,3,Turkey
114342675853,0,0,0,0,1,,Interventional Radiologist,1,India,1,1,0,0,India
114342230518,0,0,1,1,1,,Faculty/Professor Diagnostic Radiologist Interventional Radiologist,1,"Nigeria, Austria and India",1,0,1,0,Nigeria
114289299119,1,0,0,0,1,,Resident Interventional Radiologist,1,UK,1,1,1,0,United Kingdom
114286180047,0,0,0,1,0,,Diagnostic Radiologist,0,Ghana,0,0,1,0,Ghana
114285768974,0,0,0,0,1,,Interventional Radiologist,1,Canada,0,1,1,0,Canada
114276294044,0,0,0,0,1,,Interventional Radiologist,1,USA,1,1,1,0,United States of America
114276294043,0,0,0,0,0,Medical Student,Medical Student,0,Ireland,0,0,0,0,Ireland
114263890781,0,0,0,0,1,,Interventional Radiologist,1,México ,0,1,1,0,Mexico
114263253523,0,0,0,0,1,,Interventional Radiologist,1,China ,1,0,1,2,China
114263015581,0,0,0,0,1,,Interventional Radiologist,1,La réunion ,1,1,1,1,Fr. S. Antarctic Lands
114262854203,0,0,0,0,1,,Interventional Radiologist,1,México ,0,1,1,0,México 
114262364458,0,0,0,0,1,,Interventional Radiologist,1,China,0,0,0,0,China
114262272060,0,0,0,0,1,,Interventional Radiologist,1,China,1,0,1,2,China
114262272014,0,0,1,0,1,,Faculty/Professor Interventional Radiologist,1,Train for 6monthes,1,0,1,0,N/A
114262266589,0,0,0,1,1,,Diagnostic Radiologist Interventional Radiologist,1,China,1,0,0,1,China
114260541376,1,0,0,0,0,,Resident,0,South Africa ,0,0,1,0,South Africa
114250754370,1,0,0,0,0,,Resident,0,South Africa,1,0,1,0,South Africa
114250197905,0,0,0,0,1,,Interventional Radiologist,1,China,1,1,0,1,China
114344811941,0,0,0,0,1,,Interventional Radiologist,1,Multiple ,1,1,1,2,China
114372312024,0,0,0,1,0,,Diagnostic Radiologist,1,Israel,0,0,0,3,Albania
114263941084,0,1,0,0,0,,Fellow,1,Algeria ,0,0,0,1,Algeria
114263834457,0,1,0,0,0,,Fellow,0,Algeria ,0,0,0,1,Algeria
114344539579,0,0,1,0,0,Cardiology,Faculty/Professor Cardiology,1,Argentina,1,1,1,6,Argentina
114344282052,0,0,0,0,1,,Interventional Radiologist,1,"Argentina, Hospital Italiano de Buenos Aires",1,1,1,6,Argentina
114344233007,0,0,0,0,0,Interventional cardiologist ,Interventional cardiologist,1,Argentina ,0,0,0,6,Argentina
114344207433,0,0,1,0,1,,Faculty/Professor Interventional Radiologist,1,Argentina- Japan,1,0,0,6,Argentina
114344171166,0,0,1,0,0,,Faculty/Professor,1,France,1,1,1,6,Argentina
114344163505,0,0,0,0,0,Interventional Cardiologist ,Interventional Cardiologist,1,Argentina ,1,1,1,6,Argentina
114344133340,0,0,0,0,0,Pediatric surgeon,Pediatric surgeon,1,Argentina ,0,0,0,6,Argentina
114344080757,0,0,0,0,1,Angiology/Hemodynamic,Interventional Radiologist Angiology/Hemodynamic,1,Argentina/Francia,0,1,1,6,Argentina
114344048876,0,0,0,0,1,,Interventional Radiologist,0,France,0,1,0,6,Argentina
114344050426,0,0,0,0,1,,Interventional Radiologist,1,Argentina,0,1,0,6,Argentina
114344049684,0,0,0,0,1,,Interventional Radiologist,1,Argentina,0,1,0,6,Argentina
114344012407,0,0,1,0,1,,Faculty/Professor Interventional Radiologist,1,France,1,1,0,6,Argentina
114263393525,0,0,0,0,1,,Interventional Radiologist,1,jj,1,1,1,6,Argentina
114261195303,0,0,1,0,1,,Faculty/Professor Interventional Radiologist,1,France,1,1,0,6,Argentina
114373301713,0,0,1,0,1,,Faculty/Professor Interventional Radiologist,1,Australia,1,1,0,5,Australia
114369324796,0,1,0,0,0,,Fellow,1,Ireland,1,0,1,5,Australia
114364408446,0,0,0,0,1,,Interventional Radiologist,1,Australia,1,0,0,5,Australia
114347731057,0,0,0,0,1,,Interventional Radiologist,1,South Africa,1,1,1,5,Australia
114347380400,0,0,0,0,1,,Interventional Radiologist,1,New Zealand ,1,1,0,5,Australia
114347363489,0,0,0,0,1,,Interventional Radiologist,1,Australia ,1,1,1,5,Australia
114347304260,0,0,1,0,1,,Faculty/Professor Interventional Radiologist,1,Australia,0,0,1,5,Australia
114276596512,0,0,1,0,1,,Faculty/Professor Interventional Radiologist,1,South Africa,1,0,0,5,Australia
114276568023,0,0,0,1,1,,Diagnostic Radiologist Interventional Radiologist,1,Australia,0,1,0,5,Australia
114263351160,0,0,0,0,1,,Interventional Radiologist,1,"New Zealand, Australia, USA",1,0,1,5,Australia
114379916584,0,0,0,0,1,,Interventional Radiologist,1,Österreich,1,0,1,3,Austria
114378662162,0,0,1,0,0,,Faculty/Professor,0,Austria,1,0,0,3,Austria
114375826646,0,0,1,0,1,,Faculty/Professor Interventional Radiologist,1,Austria,1,0,0,3,Austria
114373874530,0,0,1,0,1,,Faculty/Professor Interventional Radiologist,1,Austria,1,0,,3,Austria
114372334743,0,0,1,0,1,,Faculty/Professor Interventional Radiologist,1,Switzerland and Austria,1,0,0,3,Austria
114379510384,0,0,0,0,1,,Interventional Radiologist,1,Belgium,1,1,0,3,Belgium
